# ID, slit_id, P1x, P1y, P1z, P2x, P2y, P2z, P3x, P3y, P3z, P4x, P4y, P4z
# Plate depth is 0.003  (3mm)
# KB5H-1.stl
2, 4, 3.42445, -3.67792, 0.39982, 3.42323, -3.6767, 0.402316, 3.41931, -3.68062, 0.40232, 3.42053, -3.68184, 0.399818
4, 4, 3.42649, -3.67997, 0.395639, 3.42527, -3.67874, 0.398137, 3.42136, -3.68266, 0.398137, 3.42258, -3.68388, 0.395639
6, 4, 3.42854, -3.68201, 0.391461, 3.42731, -3.68079, 0.393959, 3.4234, -3.6847, 0.393959, 3.42462, -3.68592, 0.391461
8, 4, 3.43058, -3.68405, 0.387282, 3.42936, -3.68283, 0.38978, 3.42544, -3.68674, 0.38978, 3.42666, -3.68797, 0.387282
# KB5H-2.stl
1, 2, 3.44959, -3.65074, 0.40191, 3.44837, -3.64952, 0.404405, 3.44446, -3.65343, 0.40441, 3.44568, -3.65465, 0.40191
3, 2, 3.45164, -3.65278, 0.39773, 3.45041, -3.65156, 0.40023, 3.4465, -3.65547, 0.40023, 3.4478, -3.6567, 0.39773
5, 2, 3.45368, -3.6548, 0.39355, 3.45246, -3.6536, 0.39605, 3.44854, -3.65752, 0.39605, 3.44976, -3.65874, 0.39355
7, 2, 3.4557, -3.6569, 0.38937, 3.4545, -3.65565, 0.39187, 3.45058, -3.65956, 0.39187, 3.4518, -3.66078, 0.389371
# KB5H-3.stl
9, 1, 3.47245, -3.6531, 0.36011, 3.47173, -3.65237, 0.362969, 3.46782, -3.6563, 0.36297, 3.46853, -3.657, 0.36011
10, 1, 3.4737, -3.6543, 0.35532, 3.47293, -3.65357, 0.358181, 3.46902, -3.6575, 0.35818, 3.46973, -3.6582, 0.35532
11, 1, 3.4749, -3.6555, 0.35053, 3.47413, -3.6548, 0.35339, 3.47022, -3.65869, 0.353392, 3.47093, -3.6594, 0.35053
12, 1, 3.4761, -3.6567, 0.34574, 3.47533, -3.65597, 0.348604, 3.4714, -3.6599, 0.3486, 3.47213, -3.6606, 0.345741
# KB5H-4.stl
13, 1, 3.47624, -3.65688, 0.3411, 3.47624, -3.65688, 0.344133, 3.47233, -3.6608, 0.34413, 3.47233, -3.6608, 0.341096
14, 1, 3.47624, -3.65688, 0.33602, 3.47624, -3.65688, 0.339053, 3.47233, -3.6608, 0.339053, 3.47233, -3.6608, 0.33602
15, 1, 3.47624, -3.65688, 0.330936, 3.47624, -3.65688, 0.333973, 3.47233, -3.6608, 0.333973, 3.47233, -3.6608, 0.33094
16, 1, 3.47624, -3.65688, 0.32586, 3.47624, -3.65688, 0.328893, 3.47233, -3.6608, 0.328893, 3.47233, -3.6608, 0.325856
# KB5H-5.stl
17, 1, 3.47533, -3.65597, 0.321385, 3.47605, -3.65669, 0.324248, 3.47213, -3.6606, 0.32425, 3.47141, -3.6599, 0.32139
18, 1, 3.47413, -3.65477, 0.316596, 3.47485, -3.65549, 0.319459, 3.47093, -3.6594, 0.319459, 3.47022, -3.65869, 0.316596
19, 1, 3.47293, -3.65357, 0.311808, 3.47365, -3.65429, 0.314671, 3.46973, -3.6582, 0.314671, 3.46902, -3.65749, 0.311808
20, 1, 3.47173, -3.65237, 0.307019, 3.47245, -3.65309, 0.309882, 3.46853, -3.657, 0.309882, 3.46782, -3.65629, 0.307019
# KB5H-6.stl
21, 3, 3.43637, -3.6757, 0.280219, 3.43757, -3.6769, 0.282737, 3.43366, -3.68082, 0.282737, 3.43246, -3.67962, 0.280219
22, 3, 3.43436, -3.67369, 0.276007, 3.43557, -3.6749, 0.278525, 3.43165, -3.67881, 0.278525, 3.43045, -3.67761, 0.276007
23, 3, 3.43236, -3.67169, 0.271796, 3.43356, -3.67289, 0.274314, 3.42964, -3.6768, 0.274314, 3.42844, -3.6756, 0.271796
24, 3, 3.43035, -3.66968, 0.267584, 3.43155, -3.67088, 0.270102, 3.42763, -3.67479, 0.270102, 3.42643, -3.67359, 0.267584
