# ID, P1x, P1y, P1z, P2x, P2y, P2z, P3x, P3y, P3z, P4x, P4y, P4z
# FS1001100-2.stl
1, -3.293, 0.010, 2.22266, -3.293, 0.010, 2.26873, -3.293, -0.010, 2.26873, -3.293, -0.010, 2.22266
2, -3.27398, 0.010, 2.20579, -3.29116, 0.010, 2.2113, -3.29116, -0.010, 2.2113, -3.27398, -0.010, 2.20579
3, -3.25147, 0.010, 2.19857, -3.26915, 0.010, 2.20424, -3.26915, -0.010, 2.20424, -3.25147, -0.010, 2.19857
4, -3.22806, 0.010, 2.19106, -3.24657, 0.010, 2.197, -3.24657, -0.010, 2.197, -3.22806, -0.010, 2.19106
# FS1001100-1.stl
5, -3.20705, 0.010, 2.18432, -3.22233, 0.010, 2.18923, -3.22233, -0.010, 2.18923, -3.20705, -0.010, 2.18432
6, -3.19129, 0.010, 2.18461, -3.20193, 0.010, 2.18311, -3.20193, -0.010, 2.18311, -3.19129, -0.010, 2.18461
7, -3.17589, 0.010, 2.18677, -3.18644, 0.010, 2.18529, -3.18644, -0.010, 2.18529, -3.17589, -0.010, 2.18677
8, -3.1606, 0.010, 2.18892, -3.17111, 0.010, 2.18745, -3.17111, -0.010, 2.18745, -3.1606, -0.010, 2.18892
# FS1001200-2.stl
9, -3.17565, 0.033, 2.18681, -3.17971, 0.033, 2.18624, -3.17971, 0.013, 2.18624, -3.17565, 0.013, 2.18681
10, -3.16678, 0.033, 2.18805, -3.17084, 0.033, 2.18748, -3.17084, 0.013, 2.18748, -3.16678, 0.013, 2.18805
11, -3.15794, 0.033, 2.1893, -3.162, 0.033, 2.18873, -3.162, 0.013, 2.18873, -3.15794, 0.013, 2.1893
12, -3.14912, 0.033, 2.19054, -3.15318, 0.033, 2.18997, -3.15318, 0.013, 2.18997, -3.14912, 0.013, 2.19054
# FS1001200-1.stl
13, -3.1396, 0.033, 2.19188, -3.14366, 0.033, 2.1913, -3.14366, 0.013, 2.1913, -3.1396, 0.013, 2.19188
14, -3.13082, 0.033, 2.19311, -3.13488, 0.033, 2.19254, -3.13488, 0.013, 2.19254, -3.13082, 0.013, 2.19311
15, -3.12206, 0.033, 2.19434, -3.12612, 0.033, 2.19377, -3.12612, 0.013, 2.19377, -3.12206, 0.013, 2.19434
16, -3.11333, 0.033, 2.19557, -3.11739, 0.033, 2.195, -3.11739, 0.013, 2.195, -3.11333, 0.013, 2.19557
# FS1001300-2.stl
17, -3.08057, 0.010, 2.20017, -3.09409, 0.010, 2.19827, -3.09409, -0.010, 2.19827, -3.08057, -0.010, 2.20017
18, -3.05869, 0.010, 2.20325, -3.07562, 0.010, 2.20087, -3.07562, -0.010, 2.20087, -3.05869, -0.010, 2.20325
19, -3.03818, 0.010, 2.21148, -3.05375, 0.010, 2.20462, -3.05375, -0.010, 2.20462, -3.03818, -0.010, 2.21148
20, -3.037, 0.010, 2.25379, -3.037, 0.010, 2.22199, -3.037, -0.010, 2.22199, -3.037, -0.010, 2.25379
# FS1001300-1.stl
21, -3.037, 0.010, 2.28806, -3.037, 0.010, 2.26519, -3.037, -0.010, 2.26519, -3.037, -0.010, 2.28806
22, -3.037, 0.010, 2.31397, -3.037, 0.010, 2.29669, -3.037, -0.010, 2.29669, -3.037, -0.010, 2.31397
23, -3.037, 0.010, 2.33515, -3.037, 0.010, 2.32168, -3.037, -0.010, 2.32168, -3.037, -0.010, 2.33515
24, -3.037, 0.010, 2.35287, -3.037, 0.010, 2.34209, -3.037, -0.010, 2.34209, -3.037, -0.010, 2.35287

# BACKUP SET
# FS1001200-3.stl
25, -3.24012, -0.013, 2.19493, -3.26993, -0.013, 2.20449, -3.26993, -0.033, 2.20449, -3.24012, -0.033, 2.19493
26, -3.20649, -0.013, 2.18414, -3.2363, -0.013, 2.1937, -3.2363, -0.033, 2.1937, -3.20649, -0.033, 2.18414
27, -3.17011, -0.013, 2.18759, -3.2012, -0.013, 2.18322, -3.2012, -0.033, 2.18322, -3.17011, -0.033, 2.18759
28, -3.1347, -0.013, 2.19256, -3.1652, -0.013, 2.18828, -3.1652, -0.033, 2.18828, -3.1347, -0.033, 2.19256
# FS1001200-4.stl
29, -3.09491, -0.013, 2.19816, -3.1291, -0.013, 2.19335, -3.1291, -0.033, 2.19335, -3.09491, -0.033, 2.19816
30, -3.04881, -0.013, 2.20464, -3.09022, -0.013, 2.19882, -3.09022, -0.033, 2.19882, -3.04881, -0.033, 2.20464
31, -3.03712, -0.013, 2.25901, -3.04579, -0.013, 2.20852, -3.04579, -0.033, 2.20852, -3.03712, -0.033, 2.25901
32, -3.037, -0.013, 2.30418, -3.037, -0.013, 2.26493, -3.037, -0.033, 2.26493, -3.037, -0.033, 2.30418
